cve_ent|year|month|homicides|pop_est|homicide_rate
02|2019|2|166|3157820.9555881904|68.57294142828864
02|2019|3|176|3157820.9555881904|65.66798588391109
02|2019|4|206|3157820.9555881904|79.42343898762427
02|2019|5|232|3157820.9555881904|86.56234502879188
02|2019|6|277|3157820.9555881904|106.79753689112584
02|2019|7|281|3157820.9555881904|104.84490928056258
02|2019|8|284|3157820.9555881904|105.96424994903835
02|2019|9|219|3157820.9555881904|84.43559775868793
02|2019|10|226|3157820.9555881904|84.32366369184037
02|2019|11|229|3157820.9555881904|88.29110450566
02|2019|12|198|3157820.9555881904|73.87648411939998
02|2020|1|212|3158125.2781619662|79.09245168168772
02|2020|2|171|3158125.2781619662|70.63158463015948
02|2020|3|241|3158125.2781619662|89.91170214757896
02|2020|4|258|3158125.2781619662|99.46248876574504
02|2020|5|289|3158125.2781619662|107.81942705664032
02|2020|6|233|3158125.2781619662|89.82465070704882
02|2020|7|296|3158125.2781619662|110.43097027254511
02|2020|8|262|3158125.2781619662|97.74633179529332
02|2020|9|259|3158125.2781619662|99.84800228809289
02|2020|10|247|3158125.2781619662|92.15016776121163
02|2020|11|234|3158125.2781619662|90.21016422939665
02|2020|12|235|3158125.2781619662|87.67323653394628
02|2021|1|268|3158428.763572264|99.97519012329866
02|2021|2|253|3158428.763572264|104.49165993297326
02|2021|3|282|3158428.763572264|105.19777468197846
02|2021|4|251|3158428.763572264|96.75459631211281
02|2021|5|310|3158428.763572264|115.64294379933801
02|2021|6|276|3158428.763572264|106.39150829539098
02|2021|7|303|3158428.763572264|113.0316515199981
02|2021|8|285|3158428.763572264|106.31689994455267
02|2021|9|207|3158428.763572264|79.79363122154322
02|2021|10|236|3158428.763572264|88.03785398917346
02|2021|11|257|3158428.763572264|99.06745518809957
02|2021|12|264|3158428.763572264|98.48302310653303
02|2022|1|222|3158732.6675643004|82.80730171254149
02|2022|2|176|3158732.6675643004|72.68285684421275
02|2022|3|158|3158732.6675643004|58.93492644406106
02|2022|4|193|3158732.6675643004|74.38980272464501
