pop_est|est_date|ent_mun|month|year|day
1124.7494869444233|2002.495890410959|20512|7|2002|1
1124.6440375922732|2003.495890410959|20512|7|2003|1
1124.5384429996052|2004.4972677595629|20512|7|2004|1
1124.433138887973|2005.495890410959|20512|7|2005|1
1124.3276895358229|2006.495890410959|20512|7|2006|1
1124.2222401836727|2007.495890410959|20512|7|2007|1
1124.1166455910045|2008.4972677595629|20512|7|2008|1
1124.0113414793723|2009.495890410959|20512|7|2009|1
913.0048441991263|2010.495890410959|20512|7|2010|1
913.0979038139205|2011.495890410959|20512|7|2011|1
913.1910916042452|2012.4972677595629|20512|7|2012|1
913.2840230435089|2013.495890410959|20512|7|2013|1
913.3770826583032|2014.495890410959|20512|7|2014|1
913.4701422730974|2015.495890410959|20512|7|2015|1
913.5633300634221|2016.4972677595629|20512|7|2016|1
913.6562615026858|2017.495890410959|20512|7|2017|1
913.74932111748|2018.495890410959|20512|7|2018|1
913.8423807322743|2019.495890410959|20512|7|2019|1
7379.190358422978|2000.4972677595629|20513|7|2000|1
7379.694526693292|2001.495890410959|20513|7|2001|1
7380.199390336841|2002.495890410959|20513|7|2002|1
7380.70425398039|2003.495890410959|20513|7|2003|1
7381.209812997174|2004.4972677595629|20513|7|2004|1
7381.713981267488|2005.495890410959|20513|7|2005|1
7382.218844911037|2006.495890410959|20513|7|2006|1
7382.723708554586|2007.495890410959|20513|7|2007|1
7383.22926757137|2008.4972677595629|20513|7|2008|1
7383.733435841684|2009.495890410959|20513|7|2009|1
8394.016310521527|2010.495890410959|20513|7|2010|1
8394.32964422453|2011.495890410959|20513|7|2011|1
8394.643409497272|2012.4972677595629|20513|7|2012|1
8394.956311630538|2013.495890410959|20513|7|2013|1
8395.269645333541|2014.495890410959|20513|7|2014|1
8395.582979036546|2015.495890410959|20513|7|2015|1
8395.896744309288|2016.4972677595629|20513|7|2016|1
8396.209646442554|2017.495890410959|20513|7|2017|1
8396.522980145557|2018.495890410959|20513|7|2018|1
8396.836313848562|2019.495890410959|20513|7|2019|1
950.0088146264827|2000.4972677595629|20514|7|2000|1
950.0321603493445|2001.495890410959|20514|7|2001|1
950.0555382717552|2002.495890410959|20514|7|2002|1
950.0789161941658|2003.495890410959|20514|7|2003|1
950.1023263161253|2004.4972677595629|20514|7|2004|1
950.1256720389871|2005.495890410959|20514|7|2005|1
950.1490499613977|2006.495890410959|20514|7|2006|1
950.1724278838084|2007.495890410959|20514|7|2007|1
950.1958380057679|2008.4972677595629|20514|7|2008|1
950.2191837286297|2009.495890410959|20514|7|2009|1
996.9985570470687|2010.495890410959|20514|7|2010|1
996.9708371618109|2011.495890410959|20514|7|2011|1
996.9430790966078|2012.4972677595629|20514|7|2012|1
996.9153973912952|2013.495890410959|20514|7|2013|1
996.8876775060373|2014.495890410959|20514|7|2014|1
996.8599576207795|2015.495890410959|20514|7|2015|1
996.8321995555764|2016.4972677595629|20514|7|2016|1
996.8045178502638|2017.495890410959|20514|7|2017|1
996.7767979650059|2018.495890410959|20514|7|2018|1
996.7490780797481|2019.495890410959|20514|7|2019|1
53230.6209535466|2000.4972677595629|20515|7|2000|1
53234.91408296564|2001.495890410959|20515|7|2001|1
53239.213133676174|2002.495890410959|20515|7|2002|1
53243.51218438671|2003.495890410959|20515|7|2003|1
53247.817156388744|2004.4972677595629|20515|7|2004|1
53252.11028580778|2005.495890410959|20515|7|2005|1
53256.40933651832|2006.495890410959|20515|7|2006|1
53260.70838722886|2007.495890410959|20515|7|2007|1
53265.013359230885|2008.4972677595629|20515|7|2008|1
53269.30648864993|2009.495890410959|20515|7|2009|1
61872.15117508656|2010.495890410959|20515|7|2010|1
61875.055328065275|2011.495890410959|20515|7|2011|1
61877.963481075036|2012.4972677595629|20515|7|2012|1
61880.863634022695|2013.495890410959|20515|7|2013|1
61883.76778700141|2014.495890410959|20515|7|2014|1
61886.67193998012|2015.495890410959|20515|7|2015|1
61889.58009298988|2016.4972677595629|20515|7|2016|1
